QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1e838-0001-9d98-0005-173a00017206,SELECT ALL_USER_NAMES(),,,,,SELECT,1432912759185474,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:16:46.955-08:00,2024-01-25T06:16:46.997-08:00,42,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,8e372086ea7cc91ab433fd18f6c621c2,2,8e372086ea7cc91ab433fd18f6c621c2,1
01b197e3-0001-97f1-0000-0005173a3015,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,21864521737,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:31:19.248-08:00,2024-01-10T23:31:19.536-08:00,288,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,287,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b197e3-0001-97b0-0000-0005173a4005,SELECT CURRENT_ORGANIZATION_ID(),,,,,SELECT,21864521737,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:31:08.71-08:00,2024-01-10T23:31:09.016-08:00,306,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,297,9,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,dbfe3a72e1875b2ebff0d3c42b705002,2,dbfe3a72e1875b2ebff0d3c42b705002,1
01b197e9-0001-97b0-0000-0005173a400d,SELECT SYSTEM$SHOW_IMPORTED_DATABASES(?),,,,,SELECT,21864521749,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:37:11.017-08:00,2024-01-10T23:37:11.057-08:00,40,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ee0ffad7d8644c8f15a6384e0823c3f3,2,ee0ffad7d8644c8f15a6384e0823c3f3,1
01b197e9-0001-97b0-0000-0005173a4011,SELECT SYSTEM$SHOW_IMPORTED_DATABASES(?),,,,,SELECT,21864529925,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:37:13.876-08:00,2024-01-10T23:37:14.003-08:00,127,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ee0ffad7d8644c8f15a6384e0823c3f3,2,ee0ffad7d8644c8f15a6384e0823c3f3,1
01b197e9-0001-977d-0000-0005173a6011,SELECT SYSTEM$GET_MONETIZATION_CONSUMER_TOS_ACCEPTANCE_DETAILS() as RESULT_DETAILS,,,,,SELECT,21864534025,ARNASJ,ORGADMIN,,,,,,,SUCCESS,,,2024-01-10T23:37:09.853-08:00,2024-01-10T23:37:09.915-08:00,62,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,61,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,99dea1f096fbb689d05bc421bc918bd4,2,99dea1f096fbb689d05bc421bc918bd4,1
01b197e1-0001-97c5-0000-0005173a1005,CREATE OR REPLACE DATABASE IDENTIFIER('snowflake_sample_data') FROM SHARE IDENTIFIER('sfc_samples.sample_data') COMMENT=?,,,,,CREATE,21864517637,SNOWFLAKE,ACCOUNTADMIN,,,,,,,SUCCESS,,,2024-01-10T23:29:39.662-08:00,2024-01-10T23:29:39.863-08:00,201,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,131,70,0,0,0,0,,,0,,,0,0,3.1e-05,8.1.0,0,0,0,0,0,,FALSE,0,0,0,0,0,ROLE,7432ddf4f21e62aa102b26c86d098a13,2,7432ddf4f21e62aa102b26c86d098a13,1
01b197e3-0001-97f1-0000-0005173a300d,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,21864521737,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:31:08.723-08:00,2024-01-10T23:31:08.832-08:00,109,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b197eb-0001-977d-0000-0005173a6039,SELECT CURRENT_AVAILABLE_ROLES(),,,,,SELECT,21864521741,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:39:53.745-08:00,2024-01-10T23:39:53.801-08:00,56,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,c93d77562440fdc9ec401ca52264d315,2,c93d77562440fdc9ec401ca52264d315,1
01b197e9-0001-97b0-0000-0005173a4015,SELECT SYSTEM$SHOW_IMPORTED_DATABASES(),,,,,SELECT,21864521749,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:37:19.359-08:00,2024-01-10T23:37:19.395-08:00,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,eac1112bdf943a7cac6593f08f056b72,2,eac1112bdf943a7cac6593f08f056b72,1
